id,name,image_url,description,price,rating,spec_Conectividad,spec_Batería,spec_Peso,spec_Resolución,spec_Frecuencia,spec_Tiempo de respuesta,spec_Switch,spec_Layout,spec_Retroiluminación,spec_Sensor,spec_DPI,spec_Botones,spec_Procesador,spec_RAM,spec_Almacenamiento,spec_Pantalla,spec_Sensores,spec_Resistencia,spec_Video,spec_Objetivo,spec_Velocidad,spec_Antenas,spec_Seguridad,spec_Velocidad lectura,spec_Velocidad escritura,spec_Formato
p-001,Auriculares Pro X,https://images.unsplash.com/photo-1585386959984-a41552231693?auto=format&fit=crop&w=600&q=80,Auriculares con cancelación activa de ruido.,129.99,4.6,Bluetooth 5.3,40h,240g,,,,,,,,,,,,,,,,,,,,,,,
p-002,"Monitor 27"" 2K",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?auto=format&fit=crop&w=600&q=80,Panel IPS 165Hz para juegos.,279.0,4.4,,,,2560x1440,165Hz,1ms MPRT,,,,,,,,,,,,,,,,,,,,
p-003,Teclado Mecánico TKL,https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=600&q=80,"Switches lineales, hot-swap.",89.5,4.7,,,,,,,Linear,TKL,RGB,,,,,,,,,,,,,,,,,
p-004,Mouse Gamer RGB,https://images.unsplash.com/photo-1587202372775-98973b66e28e?auto=format&fit=crop&w=600&q=80,"Mouse ergonómico con sensor óptico de 16,000 DPI.",49.99,4.5,,,,,,,,,,Óptico,16000,7 programables,,,,,,,,,,,,,,
p-005,"Laptop Ultrabook 14""",https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=600&q=80,"Ligera y potente, ideal para trabajo y estudio.",999.0,4.8,,,,,,,,,,,,,Intel i7 12th Gen,16GB,512GB SSD,,,,,,,,,,,
p-006,"Tablet 11"" AMOLED",https://images.unsplash.com/photo-1587825140708-75c9c84f16c5?auto=format&fit=crop&w=600&q=80,Pantalla AMOLED con soporte para lápiz óptico.,549.99,4.6,,12h,,,,,,,,,,,,,256GB,"AMOLED 11""",,,,,,,,,,
p-007,Smartwatch Pro,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=600&q=80,Reloj inteligente con ECG y GPS integrado.,299.99,4.3,,10 días,,,,,,,,,,,,,,,"ECG, GPS, SpO2",5ATM,,,,,,,,
p-008,Cámara Mirrorless 24MP,https://images.unsplash.com/photo-1519183071298-a2962be90b8e?auto=format&fit=crop&w=600&q=80,Fotografía profesional con grabación 4K.,1299.0,4.9,,,,24MP,,,,,,,,,,,,,,,4K60fps,Kit 18-55mm,,,,,,
p-009,Router WiFi 6,https://images.unsplash.com/photo-1585079542459-b62e3e6c10e9?auto=format&fit=crop&w=600&q=80,Cobertura amplia con tecnología WiFi 6.,189.99,4.4,,,,,,,,,,,,,,,,,,,,,AX3000,4 externas,WPA3,,,
p-010,SSD NVMe 1TB,https://images.unsplash.com/photo-1616628182509-9d2f3f7d79f7?auto=format&fit=crop&w=600&q=80,Almacenamiento ultrarrápido PCIe Gen4.,129.0,4.7,,,,,,,,,,,,,,,,,,,,,,,,7000 MB/s,5000 MB/s,M.2 2280
